HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Activity,Answer.WritingTexts,Approve,Reject
3MXX6RQ9EVKEPUGE56ITPAIZFP94P5,3I6QNRBGCVY5OEYEW0O7WR1Z0LTJC2,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.15 ,Fri Nov 24 12:43:20 PST 2017,50,BatchId:3022790;OriginalHitTemplateId:712361150;,600,259200,Fri Dec 01 12:43:20 PST 2017,,,317HQ483I87BH01A0IC645JA96BNI5,A3POZQMWE67EDT,Approved,Sat Nov 25 21:15:30 PST 2017,Sat Nov 25 21:19:53 PST 2017,Tue Nov 28 21:19:53 PST 2017,Sun Nov 26 17:42:25 PST 2017,,,263,100% (1/1),100% (1/1),100% (1/1),Eating|Enter_Home|Housekeeping|Wandering_in_room|Bathing,"Turn on the lights, I am eating.|Turn on the lights when I am entering the home.|Turn on the light and keep it on when housekeeping is being done.|Turn on the lights when i am wandering in room.|Turn on the lights when I am bathing.",,
3MXX6RQ9EVKEPUGE56ITPAIZFP94P5,3I6QNRBGCVY5OEYEW0O7WR1Z0LTJC2,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.15 ,Fri Nov 24 12:43:20 PST 2017,50,BatchId:3022790;OriginalHitTemplateId:712361150;,600,259200,Fri Dec 01 12:43:20 PST 2017,,,31EUONYN2WIYLRLM04B2YJ997K2OVC,AD67WUZT9VWDO,Approved,Sun Nov 26 17:35:23 PST 2017,Sun Nov 26 17:40:16 PST 2017,Wed Nov 29 17:40:16 PST 2017,Sun Nov 26 17:42:25 PST 2017,,,293,100% (1/1),100% (1/1),100% (1/1),Work|Bed_Toilet_Transition|Wandering_in_room|Meal_Preparation|Enter_Home,"Turn on the lights, I need to work.|Turn on the lights when I go to the toilet.|When I'm wandering in a room, turn on the lights.|Turn on the lights when I'm preparing meals.|Turn on the lights when I get home.",,
3MXX6RQ9EVKEPUGE56ITPAIZFP94P5,3I6QNRBGCVY5OEYEW0O7WR1Z0LTJC2,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.15 ,Fri Nov 24 12:43:20 PST 2017,50,BatchId:3022790;OriginalHitTemplateId:712361150;,600,259200,Fri Dec 01 12:43:20 PST 2017,,,31T4R4OBOTVV1CNNS1ZVX5ZPWMR7CH,A27XE4YPBNHMK3,Approved,Sun Nov 26 00:16:40 PST 2017,Sun Nov 26 00:19:13 PST 2017,Wed Nov 29 00:19:13 PST 2017,Sun Nov 26 17:42:25 PST 2017,,,153,100% (1/1),100% (1/1),100% (1/1),Enter_Home|Watch_TV|Leave_Home|Meal_Preparation|Housekeeping,"I am coming inside now, turn on the lights.|I am watching TV, turn off the lights. |I am leaving the house now, turn off the lights. |I am making dinner, turn on the lights. |I am cleaning the house, turn on the lights.",,
3MXX6RQ9EVKEPUGE56ITPAIZFP94P5,3I6QNRBGCVY5OEYEW0O7WR1Z0LTJC2,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.15 ,Fri Nov 24 12:43:20 PST 2017,50,BatchId:3022790;OriginalHitTemplateId:712361150;,600,259200,Fri Dec 01 12:43:20 PST 2017,,,32SCWG5HIIJVR1IMEWG9BRY00UOP6G,A3N1XQDB0UPO6E,Approved,Sun Nov 26 02:50:42 PST 2017,Sun Nov 26 02:54:12 PST 2017,Wed Nov 29 02:54:12 PST 2017,Sun Nov 26 17:42:25 PST 2017,,,210,100% (1/1),100% (1/1),100% (1/1),Leave_Home|Meal_Preparation|Enter_Home|Eating|Watch_TV,"Turn the lights off when I leave the house.|Turn on the lights when I am cooking in the kitchen.|Turn on the lights when I walk into the house. |Turn the lights on, I am eating dinner.|Turn the lights off, I am watching tv.",,
3MXX6RQ9EVKEPUGE56ITPAIZFP94P5,3I6QNRBGCVY5OEYEW0O7WR1Z0LTJC2,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.15 ,Fri Nov 24 12:43:20 PST 2017,50,BatchId:3022790;OriginalHitTemplateId:712361150;,600,259200,Fri Dec 01 12:43:20 PST 2017,,,339ANSOTR6HA9UG735KQCD26FD4KIZ,A2UNAK22H7TOCN,Submitted,Sun Nov 26 19:24:55 PST 2017,Sun Nov 26 19:27:31 PST 2017,Wed Nov 29 19:27:31 PST 2017,,,,156,0% (0/0),0% (0/0),0% (0/0),Bed_Toilet_Transition|Eating|Bathing|Sleep|Meal_Preparation,"turn on the lights when I enter the bathroom|Turn off the lights when I'm eating and it's still daylight outside|turn off all the lights inside the house when I'm bathing, except for the bathroom|Turn off all inside lights when I'm sleeping|turn off the bedroom lights when I'm making food in the kitchen",,
3MXX6RQ9EVKEPUGE56ITPAIZFP94P5,3I6QNRBGCVY5OEYEW0O7WR1Z0LTJC2,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.15 ,Fri Nov 24 12:43:20 PST 2017,50,BatchId:3022790;OriginalHitTemplateId:712361150;,600,259200,Fri Dec 01 12:43:20 PST 2017,,,33NF62TLXKH6450DLN5QOEH6SRRJK6,A3S5594CPVEB5K,Approved,Sun Nov 26 09:57:03 PST 2017,Sun Nov 26 10:02:11 PST 2017,Wed Nov 29 10:02:11 PST 2017,Sun Nov 26 17:42:26 PST 2017,,,308,100% (1/1),100% (1/1),100% (1/1),Enter_Home|Bed_Toilet_Transition|Leave_Home|Sleep|Meal_Preparation,"Lights on; I'm walking in the house.|Bathroom Lights On.|Lights off, I'm leaving.|Lights off, Bed time.|Kitchen lights on.",,
3MXX6RQ9EVKEPUGE56ITPAIZFP94P5,3I6QNRBGCVY5OEYEW0O7WR1Z0LTJC2,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.15 ,Fri Nov 24 12:43:20 PST 2017,50,BatchId:3022790;OriginalHitTemplateId:712361150;,600,259200,Fri Dec 01 12:43:20 PST 2017,,,34PGFRQONPQXZ5UUA1OTCPB1FYSWJ7,A130VJHUEADWWN,Approved,Sun Nov 26 08:34:29 PST 2017,Sun Nov 26 08:37:59 PST 2017,Wed Nov 29 08:37:59 PST 2017,Sun Nov 26 17:42:26 PST 2017,,,210,100% (1/1),100% (1/1),100% (1/1),Bathing|Bed_Toilet_Transition|Meal_Preparation|Enter_Home|Housekeeping,Turn lights on when I'm in the bathroom.|Turn lights on when I'm walking to the bathroom|Turn lights on when I'm using the stove.|Turn lights on when I'm unlocking the door.|Turn lights on when I'm mopping the floor.,,
3MXX6RQ9EVKEPUGE56ITPAIZFP94P5,3I6QNRBGCVY5OEYEW0O7WR1Z0LTJC2,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.15 ,Fri Nov 24 12:43:20 PST 2017,50,BatchId:3022790;OriginalHitTemplateId:712361150;,600,259200,Fri Dec 01 12:43:20 PST 2017,,,34X6J5FLPUDSF8Y8YSPNK0TFRT3JQA,A27XFEVAJS7OH6,Approved,Fri Nov 24 14:07:39 PST 2017,Fri Nov 24 14:11:40 PST 2017,Mon Nov 27 14:11:40 PST 2017,Sun Nov 26 17:42:26 PST 2017,,,241,100% (1/1),100% (1/1),100% (1/1),Leave_Home|Housekeeping|Housekeeping|Work|Bed_Toilet_Transition,"Turn off the lights in the living room, I'm going out.|I'm going to clean, turn on the kitchen lights.|Turn on the lights, I'm going to sweep the bathroom.|Turn on the livingroom lights so the kids can finish homework.|Turn on the dimmer light so I can go to the bathroom.",,
3MXX6RQ9EVKEPUGE56ITPAIZFP94P5,3I6QNRBGCVY5OEYEW0O7WR1Z0LTJC2,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.15 ,Fri Nov 24 12:43:20 PST 2017,50,BatchId:3022790;OriginalHitTemplateId:712361150;,600,259200,Fri Dec 01 12:43:20 PST 2017,,,34YB12FSQZ3R3RAFYTX36EHUP5BGMC,AFKYGW2JENH59,Submitted,Sun Nov 26 20:30:23 PST 2017,Sun Nov 26 20:33:50 PST 2017,Wed Nov 29 20:33:50 PST 2017,,,,207,0% (0/0),0% (0/0),0% (0/0),Eating|Bed_Toilet_Transition|Meal_Preparation|Sleep|Work,"I am eating dinner, please turn on the lights.|I am going to the bathroom in the middle of the night, please turn on the lights.|I am cooking, please turn on the light.|It's time for bed, please turn off the light.|I'm reading, please turn on the light.",,
3MXX6RQ9EVKEPUGE56ITPAIZFP94P5,3I6QNRBGCVY5OEYEW0O7WR1Z0LTJC2,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.15 ,Fri Nov 24 12:43:20 PST 2017,50,BatchId:3022790;OriginalHitTemplateId:712361150;,600,259200,Fri Dec 01 12:43:20 PST 2017,,,351SEKWQS1WOR70OW3WV0TEXCBMDMM,A3INGISSHPUCY0,Approved,Sat Nov 25 19:03:44 PST 2017,Sat Nov 25 19:10:30 PST 2017,Tue Nov 28 19:10:30 PST 2017,Sun Nov 26 17:42:26 PST 2017,,,406,100% (1/1),100% (1/1),100% (1/1),Meal_Preparation|Leave_Home|Sleep|Enter_Home|Housekeeping,Turn on the Lights when I open the refrigerator freezer door.|Turn Light off when I lock front door.|Turn on the lights when smoke detector alarm sounds.|Turn on the light when I unlock front door.|Turn on the lights when I am vacuuming.,,
