HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Activity,Answer.WritingTexts,Approve,Reject
32XN26MTXZY7ZLJFUD2KWQJ2T4H0LE,36ENCJ709JNFWWOAACUENU1F0M6KEV,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.20 ,Sun Nov 26 13:35:30 PST 2017,50,BatchId:3024249;OriginalHitTemplateId:712361150;,600,259200,Sun Dec 03 13:35:30 PST 2017,,,30LSNF239VAFSECHEZEMCHGCYDGI29,AB09KPB5KARYX,Submitted,Sun Nov 26 18:51:26 PST 2017,Sun Nov 26 18:56:24 PST 2017,Wed Nov 29 18:56:24 PST 2017,,,,298,0% (0/0),0% (0/0),0% (0/0),Bed_Toilet_Transition|Enter_Home|Sleep|Leave_Home|Personal_Hygiene,"Turn on the lights of hallway, when I open my bedroom's door|Turn on the lights, when the entrance door opens.|Turn off the lights, after 2 minutes of bed occupancy.|Turn off the lights, when I close the main entrance and there is no movement in the house.|Turn on the sink lights, when I am shaving.",,
32XN26MTXZY7ZLJFUD2KWQJ2T4H0LE,36ENCJ709JNFWWOAACUENU1F0M6KEV,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.20 ,Sun Nov 26 13:35:30 PST 2017,50,BatchId:3024249;OriginalHitTemplateId:712361150;,600,259200,Sun Dec 03 13:35:30 PST 2017,,,31Z0PCVWULUCNTPYENULMFZTKA07TD,ARR3UJTM2ZGK4,Submitted,Sun Nov 26 23:58:05 PST 2017,Mon Nov 27 00:03:05 PST 2017,Thu Nov 30 00:03:05 PST 2017,,,,300,0% (0/0),0% (0/0),0% (0/0),Enter_Home|Watch_TV|Work|Eating|Bathing,"Please turn on the lights when I come home.|Turn on the lights when I enter the den.|Turn on the lights when I am sitting at my desk.|I'm going to have dinner in the dining room, so please turn on the lights.|Make sure the lights are on in the bathroom when I get into the bathtub.",,
32XN26MTXZY7ZLJFUD2KWQJ2T4H0LE,36ENCJ709JNFWWOAACUENU1F0M6KEV,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.20 ,Sun Nov 26 13:35:30 PST 2017,50,BatchId:3024249;OriginalHitTemplateId:712361150;,600,259200,Sun Dec 03 13:35:30 PST 2017,,,32Z9ZLUT1MZT3QQ2VFUYJII0Z4EHO0,AWAW665TQQP2F,Submitted,Sun Nov 26 13:52:42 PST 2017,Sun Nov 26 13:56:55 PST 2017,Wed Nov 29 13:56:55 PST 2017,,,,253,0% (0/0),0% (0/0),0% (0/0),Sleeping_Not_in_Bed|Leave_Home|Eating|Personal_Hygiene|Sleep,Turn off the lights in the living room since I'm sleeping on the couch.|Turn off the lights because I'm leaving the house.|Turn on the lights as I'm eating dinner.|Turn on the lights because I'm shaving.|Turn off the lights because I'm going to sleep.,,
32XN26MTXZY7ZLJFUD2KWQJ2T4H0LE,36ENCJ709JNFWWOAACUENU1F0M6KEV,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.20 ,Sun Nov 26 13:35:30 PST 2017,50,BatchId:3024249;OriginalHitTemplateId:712361150;,600,259200,Sun Dec 03 13:35:30 PST 2017,,,336KAV9KYR71IERMIH0PY5A0OVX2YG,A3PXSILNVPL8AW,Submitted,Sun Nov 26 14:18:58 PST 2017,Sun Nov 26 14:21:32 PST 2017,Wed Nov 29 14:21:32 PST 2017,,,,154,0% (0/0),0% (0/0),0% (0/0),Bed_Toilet_Transition|Meal_Preparation|Sleep|Work|Leave_Home,Turn the bathroom light on when I enter it at night.|Turn the kitchen light on when I walk in.|Turn bedroom light off when I get into bed and say 'good night'.|Turn office light on when I walk in.|Turn all lights off when I exit the house.,,
32XN26MTXZY7ZLJFUD2KWQJ2T4H0LE,36ENCJ709JNFWWOAACUENU1F0M6KEV,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.20 ,Sun Nov 26 13:35:30 PST 2017,50,BatchId:3024249;OriginalHitTemplateId:712361150;,600,259200,Sun Dec 03 13:35:30 PST 2017,,,33CID57105863XG632P4N7DWLV23LB,A22I5RTLJTY3JZ,Submitted,Sun Nov 26 16:43:49 PST 2017,Sun Nov 26 16:51:08 PST 2017,Wed Nov 29 16:51:08 PST 2017,,,,439,0% (0/0),0% (0/0),0% (0/0),Eating|Sleep|Leave_Home|Enter_Home|Bed_Toilet_Transition,Turn on the lights when I'm eating |Turn off the lights while I'm sleeping |Turn off the lights if I haven't said anything in 4 hours |Turn on the lights when I come home |Please turn the lights on when I get up between 12 am and 5 am,,
32XN26MTXZY7ZLJFUD2KWQJ2T4H0LE,36ENCJ709JNFWWOAACUENU1F0M6KEV,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.20 ,Sun Nov 26 13:35:30 PST 2017,50,BatchId:3024249;OriginalHitTemplateId:712361150;,600,259200,Sun Dec 03 13:35:30 PST 2017,,,33CUSNVVNORXPN2TLUBW9JZ1HGL88A,A28SSXMVARPGIK,Submitted,Sun Nov 26 14:03:23 PST 2017,Sun Nov 26 14:06:06 PST 2017,Wed Nov 29 14:06:06 PST 2017,,,,163,0% (0/0),0% (0/0),0% (0/0),Bathing|Meal_Preparation|Personal_Hygiene|Sleep|Watch_TV,turn off the lights in the living room while i'm taking a shower|turn on the lights in the kitchen I'm making dinner|Turn on the lights in the bathroom I'm putting on makeup|Turn off the lights please I'm going to bed|Turn off the lights in my bedroom i'm going to watch tv in the living room,,
32XN26MTXZY7ZLJFUD2KWQJ2T4H0LE,36ENCJ709JNFWWOAACUENU1F0M6KEV,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.20 ,Sun Nov 26 13:35:30 PST 2017,50,BatchId:3024249;OriginalHitTemplateId:712361150;,600,259200,Sun Dec 03 13:35:30 PST 2017,,,36NEMU28XGSN0D0FDY1LSH3IJSBWMZ,A2653BIPJKEMRK,Submitted,Sun Nov 26 13:36:06 PST 2017,Sun Nov 26 13:38:17 PST 2017,Wed Nov 29 13:38:17 PST 2017,,,,131,0% (0/0),0% (0/0),0% (0/0),Bed_Toilet_Transition|Leave_Home|Leave_Home|Housekeeping|Enter_Home,While I'm in the bathroom turn on the light.|Whenever I leave the house turn all the lights off.|While I am sleeping make sure all lights are off.|While I'm cleaning a room turn the lights on.|Whenever I come home turn on the living room lights.,,
32XN26MTXZY7ZLJFUD2KWQJ2T4H0LE,36ENCJ709JNFWWOAACUENU1F0M6KEV,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.20 ,Sun Nov 26 13:35:30 PST 2017,50,BatchId:3024249;OriginalHitTemplateId:712361150;,600,259200,Sun Dec 03 13:35:30 PST 2017,,,374TNBHA8CAIAXT7KSQQUN8342YYQF,A3RCETMMFRHL1S,Submitted,Sun Nov 26 20:41:50 PST 2017,Sun Nov 26 20:43:43 PST 2017,Wed Nov 29 20:43:43 PST 2017,,,,113,0% (0/0),0% (0/0),0% (0/0),Sleep|Wandering_in_room|Enter_Home|Bed_Toilet_Transition|Wandering_in_room,"I am going to bed, turn on the security light|I am one in the kitchen, turn out the light.|I am coming home now, turn on hallway light|I have to go to the bathroom, turn on bathroom light.|Someone is at the door, turn on the lights.",,
32XN26MTXZY7ZLJFUD2KWQJ2T4H0LE,36ENCJ709JNFWWOAACUENU1F0M6KEV,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.20 ,Sun Nov 26 13:35:30 PST 2017,50,BatchId:3024249;OriginalHitTemplateId:712361150;,600,259200,Sun Dec 03 13:35:30 PST 2017,,,378XPAWRUDS4XH7LRE71IZZAA17IAF,A3QB85Z1B5RQ0U,Submitted,Sun Nov 26 18:34:56 PST 2017,Sun Nov 26 18:37:42 PST 2017,Wed Nov 29 18:37:42 PST 2017,,,,166,0% (0/0),0% (0/0),0% (0/0),Leave_Home|Bed_Toilet_Transition|Housekeeping|Enter_Home|Meal_Preparation,"Turn off the lights because I won't be home for a while |Turn on the lights so I can go to sleep|Turn on the lights so I can clean up|I'm in the house now, so turn on the lights. |I'm about to cook a meal, so turn on the lights",,
32XN26MTXZY7ZLJFUD2KWQJ2T4H0LE,36ENCJ709JNFWWOAACUENU1F0M6KEV,Create commands to say to smart homes,Create a command that you would say to tell a smart home whether the lights should be on or off.,"text, creative, research, academic, writing, smart home, internet of things, artificial intelligence",$0.20 ,Sun Nov 26 13:35:30 PST 2017,50,BatchId:3024249;OriginalHitTemplateId:712361150;,600,259200,Sun Dec 03 13:35:30 PST 2017,,,39DD6S19JQQTIKD77NX9EDSRRTCEZ8,A1EQOBKRO0OD6F,Submitted,Sun Nov 26 19:57:28 PST 2017,Sun Nov 26 20:00:11 PST 2017,Wed Nov 29 20:00:11 PST 2017,,,,163,0% (0/0),0% (0/0),0% (0/0),Enter_Home|Meal_Preparation|Bed_Toilet_Transition|Work|Wandering_in_room,"I'm almost home, turn on the porch lights.|I'm having a romantic dinner, dim the lights.|Turn on the bathroom lights, I need to find the bathroom.|Turn on the office lights, I need to work.|Turn on the lights in the closet, I need my blanket.",,
